wt_true_um,lt_true_um,wt_pred_um__wtlt_small_data,lt_pred_um__wtlt_small_data,wt_err_meanNorm_%__wtlt_small_data,lt_err_meanNorm_%__wtlt_small_data,wt_pred_um__wtlt_small_pinn,lt_pred_um__wtlt_small_pinn,wt_err_meanNorm_%__wtlt_small_pinn,lt_err_meanNorm_%__wtlt_small_pinn,wt_pred_um__wtlt_big_data,lt_pred_um__wtlt_big_data,wt_err_meanNorm_%__wtlt_big_data,lt_err_meanNorm_%__wtlt_big_data,wt_pred_um__wtlt_big_pinn,lt_pred_um__wtlt_big_pinn,wt_err_meanNorm_%__wtlt_big_pinn,lt_err_meanNorm_%__wtlt_big_pinn
3.0,120.00001,12.917903,424.0518,97.26451,48.118206,12.964037,423.6607,97.71694,48.056313,5.3225307,174.8415,22.776974,8.67903,5.3544602,139.26974,23.090105,3.0495632
5.755102,236.27118,13.015589,444.64658,71.20332,32.976784,13.060102,444.9486,71.63987,33.024582,5.3015165,174.3746,4.4482975,9.795542,5.3469324,139.2345,4.002906,15.356697
8.510203,169.83052,11.94114,198.87483,33.64707,4.596454,11.903211,199.41196,33.275097,4.681458,6.309734,171.63683,21.579924,0.2858597,7.564023,166.26276,9.279156,0.5646223
6.367347,435.59326,13.339466,704.10156,68.37532,42.493214,13.316759,701.4193,68.15263,42.06873,5.188525,224.25153,11.560659,33.446228,5.1650233,204.09735,11.7911415,36.63576
7.897959,418.98306,13.51699,603.6652,55.105625,29.227173,13.518062,604.34314,55.116135,29.33446,5.0666103,133.7656,27.766933,45.13755,5.122182,137.9219,27.221945,44.479786
11.877551,219.66101,12.033489,190.13104,1.5292797,4.6733127,11.994097,192.04453,1.1429592,4.3704915,7.4288974,177.96078,43.627785,6.599336,9.18348,181.37437,26.420652,6.0591135
11.877551,302.71185,11.956406,249.49721,0.7733238,8.421569,11.942413,244.94977,0.6361017,9.1412325,5.5302095,172.42851,62.248146,20.6182,5.4556427,138.00931,62.97942,26.065266
3.0,950.50854,6.010857,911.8173,29.527367,6.123142,6.1344357,902.5334,30.739296,7.5923862,6.0343904,179.30208,29.758156,122.04852,5.3244033,137.56363,22.795338,128.6539
13.10204,352.54236,12.048088,266.6127,10.33607,13.598937,12.044831,261.46313,10.36801,14.413889,5.507407,173.59131,74.480286,28.320187,5.426943,138.03825,75.2694,33.946693
3.3061223,1050.1694,6.0331635,914.9407,26.743994,21.400845,6.146778,905.58563,27.858206,22.881342,6.037917,177.90067,26.79061,138.04231,5.242333,134.56726,18.988346,144.9001
4.22449,1050.1694,6.1240597,890.4527,18.62901,25.276228,6.180998,885.25415,19.187399,26.098934,5.0699916,160.30838,8.291801,140.8264,5.105087,144.94363,8.635979,143.25798
16.469387,335.9322,13.972321,252.30664,24.48864,13.234297,13.666114,245.25807,27.491596,14.349778,13.566335,210.42964,28.470129,19.861609,13.807981,200.87263,26.100317,21.374067
12.489796,634.9153,13.574001,601.1866,10.632765,5.3377895,13.572663,601.957,10.619642,5.215871,5.060221,132.03041,72.861565,79.58486,5.116198,137.73354,72.3126,78.682304
14.020409,601.69495,13.310345,506.67474,6.963571,15.037576,13.340406,508.2356,6.668757,14.790561,5.229571,170.40875,86.211426,68.25389,5.2872133,138.2455,85.646126,73.34395
14.32653,651.52545,13.447542,545.33136,8.620206,16.805918,13.465412,546.95215,8.444956,16.549417,5.173411,162.4838,89.76431,77.39407,5.212716,137.37816,89.37884,81.3672
12.795918,817.62714,13.559938,703.234,7.492716,18.103468,13.527283,700.5796,7.1724625,18.523548,6.346232,350.12863,63.251842,73.98473,6.2882166,326.25903,63.820793,77.76225
16.163265,701.3559,13.399176,526.1474,27.107325,27.727901,13.422475,527.8188,26.87883,27.463394,5.2002926,166.95117,107.513466,84.573074,5.2487717,137.7034,107.03803,89.20173
16.469387,784.4068,13.590926,585.9736,28.22896,31.403372,13.592559,587.10095,28.21295,31.224955,5.0776234,138.18787,111.718605,102.268425,5.1304555,137.27261,111.200485,102.41326
13.714286,1066.7797,13.032879,754.85834,6.6825333,49.363613,13.004329,750.5412,6.9625235,50.046825,16.618526,961.0626,28.481781,16.730421,16.719172,960.3672,29.468805,16.840477
18.0,1100.0,13.711713,709.42786,42.055073,61.810623,13.669853,706.53577,42.46559,62.26832,9.73977,537.3138,81.007774,89.04881,10.452916,517.17957,74.01397,92.23519
