lt_bin_center_um,MAPE_lt_%__wtlt_small_data,RMSPE_lt_%__wtlt_small_data,MAPE_lt_%__wtlt_small_pinn,RMSPE_lt_%__wtlt_small_pinn,MAPE_lt_%__wtlt_big_data,RMSPE_lt_%__wtlt_big_data,MAPE_lt_%__wtlt_big_pinn,RMSPE_lt_%__wtlt_big_pinn
122.5,68.1856918334961,72.87718200683594,71.15922546386719,75.25963592529297,30.771183013916016,37.880104064941406,32.67485046386719,40.62129592895508
167.5,44.46912384033203,58.74848175048828,45.03084945678711,58.768272399902344,11.932008743286133,13.912636756896973,13.732551574707031,16.25107192993164
212.5,38.616939544677734,59.93775939941406,38.36964797973633,60.35663604736328,4.148569583892822,6.757191181182861,5.062878131866455,7.290441513061523
257.5,43.250911712646484,62.94920349121094,43.43946838378906,63.41331481933594,4.083425521850586,8.455629348754883,3.688469648361206,8.170711517333984
302.5,42.09198760986328,59.00571060180664,42.515953063964844,59.3298225402832,4.233316898345947,9.354487419128418,4.292085647583008,9.69068431854248
347.5,40.71793746948242,53.83747100830078,41.3271484375,54.10177993774414,1.9335910081863403,3.74554705619812,2.560094118118286,4.171170234680176
392.50003,38.65216827392578,48.13555908203125,39.163818359375,48.34054183959961,1.4113290309906006,1.8936967849731445,1.6589834690093994,2.109720230102539
437.50003,35.00798034667969,41.74849319458008,35.24446105957031,41.842742919921875,1.1384329795837402,1.7417352199554443,1.1303290128707886,1.6347802877426147
482.50003,30.34258270263672,35.2464714050293,30.374374389648438,35.2414436340332,0.6453865766525269,1.0478990077972412,0.6220890879631042,1.0126926898956299
527.5,25.601306915283203,29.158214569091797,25.53875732421875,29.096181869506836,0.715446949005127,0.9523493647575378,0.4700508117675781,0.6516057252883911
572.5,21.25434684753418,23.88755989074707,21.0701847076416,23.757038116455078,0.6930884718894958,0.9021530151367188,0.45783230662345886,0.604156494140625
617.5,16.871931076049805,18.939136505126953,16.599895477294922,18.739810943603516,0.6769195199012756,0.9190967679023743,0.41351133584976196,0.6272038221359253
662.50006,12.816851615905762,14.738947868347168,12.558880805969238,14.527885437011719,0.7131333947181702,0.8985113501548767,0.33823272585868835,0.4468593895435333
707.50006,9.470659255981445,11.720511436462402,9.317330360412598,11.532085418701172,0.730680525302887,0.9551632404327393,0.40006357431411743,0.5704705119132996
752.50006,7.6801605224609375,10.316925048828125,7.714330673217773,10.195391654968262,0.6989936232566833,1.0404707193374634,0.4213489592075348,0.6005431413650513
797.50006,9.239079475402832,10.769874572753906,9.268669128417969,10.741236686706543,0.7250487208366394,1.179903268814087,0.43129396438598633,0.6188101172447205
842.50006,11.38394832611084,12.513166427612305,11.38277530670166,12.564841270446777,0.7647311091423035,1.2818413972854614,0.4092370569705963,0.7338768243789673
887.50006,13.70391845703125,14.97101879119873,13.72945499420166,15.07270622253418,0.8184307217597961,1.1891663074493408,0.4921497404575348,0.9663332104682922
932.50006,16.40703010559082,17.669525146484375,16.58013343811035,17.797693252563477,0.6473218202590942,0.8169884085655212,0.7778088450431824,1.4185174703598022
977.50006,19.41482162475586,20.41396141052246,19.607559204101562,20.554885864257812,1.1466692686080933,1.5537842512130737,1.7524755001068115,2.5578572750091553
