wt_bin_center_um,MAPE_wt_%__wtlt_small_data,RMSPE_wt_%__wtlt_small_data,MAPE_wt_%__wtlt_small_pinn,RMSPE_wt_%__wtlt_small_pinn,MAPE_wt_%__wtlt_big_data,RMSPE_wt_%__wtlt_big_data,MAPE_wt_%__wtlt_big_pinn,RMSPE_wt_%__wtlt_big_pinn
5.3750005,62.100894927978516,86.03907775878906,62.48929977416992,86.33450317382812,8.354048728942871,11.702221870422363,8.057547569274902,13.145709037780762
6.125001,49.901161193847656,72.78697204589844,50.03252029418945,73.04204559326172,3.9408068656921387,9.829712867736816,5.158445358276367,13.088300704956055
6.875001,45.24173355102539,62.03581619262695,45.35366439819336,62.29248046875,3.379725694656372,10.017423629760742,5.203290939331055,12.98332405090332
7.625001,42.31871032714844,53.08843994140625,42.598995208740234,53.372596740722656,2.941263198852539,8.556306838989258,4.079296112060547,10.955730438232422
8.375001,38.68086624145508,45.411888122558594,39.050445556640625,45.74492645263672,2.4536728858947754,6.915470600128174,3.0485756397247314,8.838142395019531
9.125002,34.410247802734375,38.628421783447266,34.826072692871094,39.023799896240234,1.8660242557525635,4.895187854766846,2.502883195877075,6.680332660675049
9.875002,29.61822509765625,32.387977600097656,30.03173065185547,32.810123443603516,1.3173483610153198,2.9036917686462402,1.9747724533081055,4.707998275756836
10.625002,24.537755966186523,26.579904556274414,24.89483070373535,26.957416534423828,1.0248206853866577,1.7567366361618042,1.6459838151931763,3.343233346939087
11.375002,19.51997184753418,21.36917495727539,19.807825088500977,21.678983688354492,0.9362941384315491,2.140214204788208,1.5687042474746704,2.9487805366516113
12.125002,14.668293952941895,16.78070068359375,14.899856567382812,17.01216697692871,0.7790443301200867,1.7815358638763428,1.2673161029815674,2.189392328262329
12.875002,10.672870635986328,13.245402336120605,10.751485824584961,13.34712028503418,1.2545746564865112,2.905728816986084,1.6421113014221191,3.0021636486053467
13.625002,8.279046058654785,11.145489692687988,8.222370147705078,11.108499526977539,1.248140811920166,2.591468572616577,1.4940179586410522,2.619286298751831
14.375002,7.743762493133545,10.68964672088623,7.6499433517456055,10.587563514709473,1.0365324020385742,1.8170446157455444,1.15179443359375,1.9782648086547852
15.125002,10.00861930847168,11.859186172485352,9.92818546295166,11.750542640686035,1.349183440208435,2.578273296356201,1.3610434532165527,2.4753386974334717
15.875002,11.522357940673828,12.969444274902344,11.480100631713867,12.949673652648926,1.718356728553772,3.4785711765289307,1.42808997631073,2.97027587890625
16.625002,14.83886432647705,15.66640853881836,14.944254875183105,15.697600364685059,1.0523998737335205,1.7276098728179932,1.0104773044586182,1.7043086290359497
17.375002,16.55139923095703,17.553625106811523,16.924375534057617,17.726118087768555,0.8069830536842346,1.2280118465423584,0.7241687774658203,1.093773365020752
18.125002,20.553852081298828,20.960750579833984,20.743778228759766,21.075061798095703,1.2045878171920776,1.9768879413604736,1.303413987159729,2.0564956665039062
18.875002,24.768444061279297,25.170372009277344,24.813026428222656,25.159379959106445,3.2858715057373047,7.529937744140625,3.3641974925994873,7.662360668182373
19.625002,29.246082305908203,29.50736427307129,29.027538299560547,29.279253005981445,5.101784706115723,10.985978126525879,5.038369655609131,11.15549373626709
