lt_bin_center_um,NMAE_lt_%__泛化PINN,NRMSE_lt_%__泛化PINN,NMAE_lt_%__泛化DATA,NRMSE_lt_%__泛化DATA
144.50002,41.57188034057617,46.471435546875,41.92755126953125,50.52128601074219
193.50003,54.8621826171875,59.132652282714844,60.661399841308594,64.78295135498047
242.50003,72.63182830810547,74.55299377441406,77.09217834472656,78.79917907714844
291.50003,81.7196273803711,85.33023834228516,85.91149139404297,88.81144714355469
340.50003,85.9556655883789,89.93818664550781,89.1734848022461,92.37071990966797
389.50006,86.9994125366211,90.12344360351562,89.36102294921875,91.95622253417969
438.50006,85.30023956298828,87.63238525390625,87.02909851074219,89.09788513183594
487.50006,81.23787689208984,83.82809448242188,82.48652648925781,85.10079956054688
536.50006,77.26971435546875,80.3637466430664,78.3134994506836,81.63737487792969
585.50006,73.21651458740234,77.17283630371094,74.14647674560547,78.46580505371094
634.50006,68.95028686523438,74.0380859375,69.8570785522461,75.37467956542969
683.5001,64.51419830322266,70.8916015625,65.42245483398438,72.26669311523438
732.5001,59.912227630615234,67.65848541259766,60.884368896484375,69.12088012695312
781.5001,55.177711486816406,64.31504821777344,56.23630142211914,65.8685302734375
830.5001,50.332969665527344,60.810970306396484,51.45780944824219,62.44779968261719
879.5001,45.36777877807617,57.105125427246094,46.586219787597656,58.7979621887207
928.5001,40.31779861450195,53.15250015258789,41.66825485229492,54.87576675415039
977.5001,35.13408660888672,48.92160415649414,36.743011474609375,50.654541015625
1026.5001,30.751440048217773,44.93543243408203,32.3806037902832,46.51365280151367
1075.5001,29.320987701416016,43.013145446777344,30.663724899291992,44.49040985107422
