wt_true_um,lt_true_um,wt_pred_um__泛化PINN,lt_pred_um__泛化PINN,wt_err_meanNorm_%__泛化PINN,lt_err_meanNorm_%__泛化PINN,wt_pred_um__泛化DATA,lt_pred_um__泛化DATA,wt_err_meanNorm_%__泛化DATA,lt_err_meanNorm_%__泛化DATA
3.0,120.00001,0.737749,59.433014,22.185812,9.585127,1.0000536,48.72418,19.6134,11.279872
5.755102,236.27116,0.7279723,59.503902,49.300877,27.974588,0.99627244,48.98273,46.669666,29.639635
8.510203,169.8305,0.9364229,59.83595,74.27579,17.407366,1.1838908,46.207363,71.84888,19.564178
6.3673472,435.5932,2.6746912,206.16212,36.21374,36.308987,3.1025283,165.59195,32.01796,42.72948
7.897959,418.983,0.6815982,62.400127,70.770584,56.4316,0.91478914,48.48153,68.483696,58.634304
11.877551,219.66103,0.9627048,59.891212,107.041504,25.284628,1.2000504,48.41922,104.71386,27.10015
11.877551,302.71188,0.8424012,59.888126,108.221306,38.428463,1.0791245,46.075024,105.89977,40.614483
3.0,950.5084,1.4841496,118.31304,14.865889,131.70042,1.3541166,95.626465,16.141119,135.29071
13.10204,352.54242,0.8256771,59.653538,120.393845,46.351604,1.0552444,46.516632,118.14249,48.430603
3.3061223,1050.1697,1.4127977,119.57567,18.567764,147.27266,1.28451,97.0718,19.825876,150.83405
4.22449,1050.1697,1.0113747,111.95871,31.510904,148.47807,0.96060044,99.04062,32.008846,150.52246
16.469389,335.9322,0.9720568,67.47687,151.98177,42.48483,1.1538593,42.090572,150.19884,46.50238
12.489795,634.91534,0.6811935,62.276085,115.80652,90.62395,0.91189384,48.373528,113.544044,92.82412
14.020407,601.695,0.70115215,59.85638,130.62144,85.74954,0.9821204,49.70627,127.866,87.35587
14.326531,651.5253,0.690398,60.412544,133.72905,93.54751,0.96133584,49.657585,131.07198,95.24955
12.7959175,817.62726,4.976001,324.59833,76.68964,78.02509,5.788363,303.43243,68.72283,81.374725
16.163265,701.3561,0.6943803,60.07776,151.70279,101.48654,0.9728767,49.755688,148.97159,103.12008
16.469389,784.407,0.68250686,61.570538,154.82137,114.39364,0.9224382,48.54047,152.46837,116.45575
13.714285,1066.7797,16.494078,977.4031,27.261326,14.144436,16.549358,936.8472,27.80346,20.562666
18.0,1100.0001,9.263578,533.42596,85.677765,89.66411,9.772268,507.33002,80.689064,93.79396
